pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory 
9276294,1528082860.255239,e g,tcp,192.168.100.147,22809.0,192.168.100.3,80.0,9,822,RST,1528082909.797032,22311,49.541794,0.13848,0.010559,,,0.41544,0.126637,0.152278,,,,,6,3,642,180,0.16148,0.100925,0.04037,1,DDoS/DoS,TCP
34889133,1528095722.374859,e s,tcp,192.168.100.149,4858,192.168.100.3,80,2,308,REQ,1528095732.959178,32661,10.584319,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.094479,0.094479,0.0,1,DDoS/DoS,TCP
34869982,1528095721.959565,e g,tcp,192.168.100.147,9882,192.168.100.3,80,6,548,RST,1528095731.446637,13510,9.487072,0.108125,0.092993,,,0.21625,0.015132,0.201118,,,,,4,2,428,120,0.527033,0.31622,0.105407,1,DDoS/DoS,TCP
34925526,1528095723.085124,e,tcp,192.168.100.148,22176,192.168.100.3,80,4,428,RST,1528095733.249399,69054,10.164275,0.061498,0.061498,,,0.122996,0.0,0.122996,,,,,3,1,368,60,0.295151,0.196768,0.0,1,DDoS/DoS,TCP
9617812,1528082927.355699,e g,tcp,192.168.100.147,64250.0,192.168.100.3,80.0,6,548,RST,1528082978.183359,101665,50.82766,0.145813,0.006092,,,0.291626,0.139721,0.151905,,,,,4,2,428,120,0.098372,0.059023,0.019674,1,DDoS/DoS,TCP
9735524,1528082939.263904,e s,tcp,192.168.100.149,60640.0,192.168.100.7,80.0,3,462,REQ,1528082980.227969,219377,40.964066,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.048823,0.048823,0.0,1,DDoS/DoS,TCP
993206,1526949251.953767,e,tcp,192.168.100.149,41607,192.168.100.3,34107,2,120,RST,1526949251.9945,173613,0.040733,0.040733,0.0,,,0.040733,0.040733,0.040733,,,,,1,1,60,60,24.550119,0.0,0.0,1,Reconnaissance,Service_Scan
465984,1526888956.998085,e,udp,192.168.100.3,28609.0,205.251.199.203,53.0,2,323,CON,1526888957.248834,71,0.250749,0.250749,0.0,,,0.250749,0.250749,0.250749,,,,,1,1,93,230,3.988052,0.0,0.0,0,Normal,Normal
100550,1526352708.174192,e,udp,192.168.100.150,49159,224.0.0.251,5353,1,88,INT,1526352708.174192,10211,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,88,0,0.0,0.0,0.0,0,Normal,Normal
462560,1526888106.053579,e,tcp,192.168.100.149,7814.0,192.168.100.3,6726.0,2,120,RST,1526888106.053594,3786,1.5e-05,1.5e-05,0.0,,,1.5e-05,1.5e-05,1.5e-05,,,,,1,1,60,60,66666.671875,0.0,0.0,1,Reconnaissance,Service_Scan
108585,1526353854.45853,e,udp,192.168.100.3,65398,199.7.91.13,53,2,170,CON,1526353854.466186,6008,0.007656,0.007656,0.0,,,0.007656,0.007656,0.007656,,,,,1,1,85,85,130.616501,0.0,0.0,0,Normal,Normal
9064647,1528082803.515874,e g,tcp,192.168.100.147,12768.0,192.168.100.3,80.0,9,822,RST,1528082856.430028,72825,52.914154,0.151529,0.013325,,,0.454588,0.133634,0.16559,,,,,6,3,642,180,0.151188,0.094493,0.037797,1,DDoS/DoS,TCP
904713,1526949244.997379,e,tcp,192.168.100.148,42640,192.168.100.3,35492,2,120,RST,1526949245.030129,85119,0.03275,0.03275,0.0,,,0.03275,0.03275,0.03275,,,,,1,1,60,60,30.534351,0.0,0.0,1,Reconnaissance,Service_Scan
9717794,1528082937.22683,e s,tcp,192.168.100.150,11153.0,192.168.100.6,80.0,4,522,RST,1528082974.865225,201647,37.666107,0.009238,0.013064,,,0.027713,0.0,0.027713,,,,,3,1,462,60,0.079647,0.053137,0.0,1,DDoS/DoS,TCP
1859839,1528089787.065252,e,arp,192.168.100.1,,192.168.100.147,,2,120,CON,1528089787.065381,690,0.000129,0.000129,0.0,,,0.000129,0.000129,0.000129,,,,,1,1,60,60,7751.938477,0.0,0.0,0,Normal,Normal
34952166,1528095723.778592,e s,tcp,192.168.100.149,21332,192.168.100.3,80,2,308,REQ,1528095734.33043,95694,10.551838,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.09477,0.09477,0.0,1,DDoS/DoS,TCP
523058,1526898841.594902,e,tcp,192.168.100.147,65233.0,192.168.100.3,23757.0,2,120,RST,1526898841.595453,23740,0.000551,0.000551,0.0,,,0.000551,0.000551,0.000551,,,,,1,1,60,60,1814.881958,0.0,0.0,1,Reconnaissance,Service_Scan
985495,1526949251.19663,e,tcp,192.168.100.148,42640,192.168.100.3,19481,2,120,RST,1526949251.240738,165902,0.044108,0.044108,0.0,,,0.044108,0.044108,0.044108,,,,,1,1,60,60,22.671625,0.0,0.0,1,Reconnaissance,Service_Scan
9596658,1528082926.149889,e s,tcp,192.168.100.148,38179.0,192.168.100.5,80.0,5,770,REQ,1528082966.385335,80511,40.235447,0.0,0.0,,,0.0,0.0,0.0,,,,,5,0,770,0,0.099415,0.099415,0.0,1,DDoS/DoS,TCP
9628159,1528082927.940653,e s,tcp,192.168.100.150,47023.0,192.168.100.6,80.0,4,522,RST,1528082966.518384,112012,38.577732,0.014332,0.020268,,,0.042995,0.0,0.042995,,,,,3,1,462,60,0.077765,0.051843,0.0,1,DDoS/DoS,TCP
1519385,1526877363.264136,e,udp,192.168.100.149,34968,8.8.8.8,53,2,203,CON,1526877363.407468,273,0.143332,0.143332,0.0,,,0.143332,0.143332,0.143332,,,,,1,1,64,139,6.976809,0.0,0.0,0,Normal,Normal
498296,1526898668.671563,e,udp,192.168.100.148,40726,192.168.100.3,29977,1,60,INT,1526898668.671563,17022,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,60,0,0.0,0.0,0.0,1,Reconnaissance,Service_Scan
927861,1526949246.5423,e,tcp,192.168.100.150,49731,192.168.100.3,60840,2,120,RST,1526949246.579415,108267,0.037115,0.037115,0.0,,,0.037115,0.037115,0.037115,,,,,1,1,60,60,26.943285,0.0,0.0,1,Reconnaissance,Service_Scan
1536904,1526877525.323714,e,udp,192.168.100.7,42367,192.168.159.152,53,2,176,INT,1526877530.368631,17932,5.044917,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,176,0,0.198219,0.198219,0.0,0,Normal,Normal
34941879,1528095723.48985,e,tcp,192.168.100.149,18364,192.168.100.3,80,4,428,RST,1528095734.07512,85407,10.58527,0.068198,0.068198,,,0.136395,0.0,0.136395,,,,,3,1,368,60,0.283413,0.188942,0.0,1,DDoS/DoS,TCP
34999481,1528095725.500675,e s,tcp,192.168.100.148,40109,192.168.100.3,80,2,308,REQ,1528095735.055478,143009,9.554803,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.104659,0.104659,0.0,1,DDoS/DoS,TCP
34840010,1528103047.205603,e,tcp,192.168.100.148,58262,192.168.100.3,80,10,1491,RST,1528103073.939679,3358,26.734076,1.8e-05,3.2e-05,,,7.3e-05,0.0,7.3e-05,,,,,6,4,725,766,0.336649,0.187027,0.249825,1,DDoS/DoS,HTTP
504677,1526898841.16523,e,tcp,192.168.100.147,65233,192.168.100.3,2860,2,120,RST,1526898841.165539,5359,0.000309,0.000309,0.0,,,0.000309,0.000309,0.000309,,,,,1,1,60,60,3236.246094,0.0,0.0,1,Reconnaissance,Service_Scan
34990890,1528095725.148903,e,tcp,192.168.100.149,32304,192.168.100.3,80,1,154,REQ,1528095725.148903,134418,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,154,0,0.0,0.0,0.0,1,DDoS/DoS,TCP
34852359,1528103644.200816,e,tcp,192.168.100.149,50876.0,192.168.100.7,80,8,2133,RST,1528103662.85058,7479,18.649763,0.081097,0.08099,,,0.162194,0.000107,0.162087,,,,,5,3,803,1330,0.37534,0.21448,0.10724,1,DDoS/DoS,HTTP
861578,1526949243.373142,e,tcp,192.168.100.147,47422,192.168.100.3,31542,2,120,RST,1526949243.381304,41984,0.008162,0.008162,0.0,,,0.008162,0.008162,0.008162,,,,,1,1,60,60,122.51899,0.0,0.0,1,Reconnaissance,Service_Scan
851434,1526949243.146795,e,tcp,192.168.100.147,47422,192.168.100.3,38545,2,120,RST,1526949243.147848,31840,0.001053,0.001053,0.0,,,0.001053,0.001053,0.001053,,,,,1,1,60,60,949.667603,0.0,0.0,1,Reconnaissance,Service_Scan
9735823,1528082939.295054,e g,tcp,192.168.100.147,27234.0,192.168.100.3,80.0,6,548,RST,1528082964.635051,219676,25.339996,0.125628,0.005111,,,0.251256,0.120517,0.130739,,,,,4,2,428,120,0.197317,0.11839,0.039463,1,DDoS/DoS,TCP
9374500,1528082865.665356,e s,tcp,192.168.100.149,19841.0,192.168.100.7,80.0,4,616,REQ,1528082909.419764,120517,43.75441,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.068565,0.068565,0.0,1,DDoS/DoS,TCP
135130,1526355476.668899,e,tcp,192.168.100.149,46006,192.168.100.7,5432,8,794,FIN,1526355476.669683,10603,0.000784,0.000784,0.0,,,0.000784,0.000784,0.000784,,,,,4,4,522,272,8928.571289,3826.530762,3826.530762,1,Reconnaissance,Service_Scan
9597999,1528082926.248197,e s,tcp,192.168.100.148,38946.0,192.168.100.5,80.0,5,770,REQ,1528082966.599796,81852,40.351601,0.0,0.0,,,0.0,0.0,0.0,,,,,5,0,770,0,0.099129,0.099129,0.0,1,DDoS/DoS,TCP
9997544,1528083001.100899,e s,tcp,192.168.100.150,32914.0,192.168.100.6,80.0,3,368,RST,1528083022.120118,219236,21.060167,0.020474,0.020474,,,0.040949,0.0,0.040949,,,,,2,1,308,60,0.094966,0.047576,0.0,1,DDoS/DoS,TCP
34856120,1528104145.738815,e,tcp,192.168.100.149,58038.0,192.168.100.7,80,10,2264,RST,1528104181.459419,4628,35.720604,0.359103,0.507849,,,1.07731,0.0,1.07731,,,,,6,4,868,1396,0.251955,0.139975,0.1845,1,DDoS/DoS,HTTP
840670,1526949242.971301,e,tcp,192.168.100.148,42640,192.168.100.3,41813,2,120,RST,1526949242.971814,21076,0.000513,0.000513,0.0,,,0.000513,0.000513,0.000513,,,,,1,1,60,60,1949.317749,0.0,0.0,1,Reconnaissance,Service_Scan
750351,1526898859.807024,e,tcp,192.168.100.148,57184,192.168.100.3,47762,2,120,RST,1526898859.84681,251036,0.039786,0.039786,0.0,,,0.039786,0.039786,0.039786,,,,,1,1,60,60,25.13447,0.0,0.0,1,Reconnaissance,Service_Scan
9449351,1528082872.777578,e s,tcp,192.168.100.150,53071.0,192.168.100.6,80.0,3,462,REQ,1528082909.141346,195368,36.36377,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.055,0.055,0.0,1,DDoS/DoS,TCP
9730177,1528082938.644279,e s,tcp,192.168.100.149,58697.0,192.168.100.7,80.0,3,462,REQ,1528082979.683326,214030,41.039047,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.048734,0.048734,0.0,1,DDoS/DoS,TCP
9762140,1528082942.648631,e g,tcp,192.168.100.147,35226.0,192.168.100.3,80.0,6,548,RST,1528082967.521621,245993,24.87299,0.13077,0.02631,,,0.26154,0.10446,0.15708,,,,,4,2,428,120,0.201021,0.120613,0.040204,1,DDoS/DoS,TCP
1584545,1526894599.067715,e,udp,192.168.100.148,42185,8.8.8.8,53,2,172,CON,1526894599.075231,29729,0.007516,0.007516,0.0,,,0.007516,0.007516,0.007516,,,,,1,1,86,86,133.0495,0.0,0.0,0,Normal,Normal
178186,1526880842.182942,e,tcp,192.168.100.148,40850,192.168.100.3,15245,2,120,RST,1526880842.18324,21478,0.000298,0.000298,0.0,,,0.000298,0.000298,0.000298,,,,,1,1,60,60,3355.70459,0.0,0.0,1,Reconnaissance,Service_Scan
9199493,1528082814.273194,e s,tcp,192.168.100.149,29848.0,192.168.100.7,80.0,6,924,REQ,1528082856.471021,207671,42.197826,0.0,0.0,,,0.0,0.0,0.0,,,,,6,0,924,0,0.11849,0.11849,0.0,1,DDoS/DoS,TCP
543787,1526898842.21513,e,tcp,192.168.100.147,65233,192.168.100.3,38527,2,120,RST,1526898842.215581,44469,0.000451,0.000451,0.0,,,0.000451,0.000451,0.000451,,,,,1,1,60,60,2217.294922,0.0,0.0,1,Reconnaissance,Service_Scan
605355,1526898845.992588,e,tcp,192.168.100.148,57184,192.168.100.3,44968,2,120,RST,1526898846.020541,106037,0.027953,0.027953,0.0,,,0.027953,0.027953,0.027953,,,,,1,1,60,60,35.774334,0.0,0.0,1,Reconnaissance,Service_Scan
9067436,1528082803.711459,e s,tcp,192.168.100.149,57137.0,192.168.100.7,80.0,6,924,REQ,1528082852.611087,75614,48.899628,0.0,0.0,,,0.0,0.0,0.0,,,,,6,0,924,0,0.10225,0.10225,0.0,1,DDoS/DoS,TCP
47702,1526349085.730725,eU,udp,192.168.100.147,43776,192.168.100.5,21868,1,60,INT,1526349085.730992,19417,0.000267,0.000267,0.0,,,0.000267,0.000267,0.000267,,,,,1,0,60,0,0.0,0.0,0.0,1,Reconnaissance,Service_Scan
399377,1526880859.163159,e,tcp,192.168.100.149,57044,192.168.100.3,44511,2,120,RST,1526880859.173817,242670,0.010658,0.010658,0.0,,,0.010658,0.010658,0.010658,,,,,1,1,60,60,93.826241,0.0,0.0,1,Reconnaissance,Service_Scan
9988840,1528083000.089542,e s,tcp,192.168.100.148,9167.0,192.168.100.5,80.0,2,308,REQ,1528083020.984019,210532,20.894478,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.04786,0.04786,0.0,1,DDoS/DoS,TCP
707515,1526898855.310078,e,tcp,192.168.100.150,54114,192.168.100.3,47841,2,120,RST,1526898855.359942,208200,0.049864,0.049864,0.0,,,0.049864,0.049864,0.049864,,,,,1,1,60,60,20.054548,0.0,0.0,1,Reconnaissance,Service_Scan
460529,1526887220.658149,e,tcp,192.168.100.46,80.0,192.168.100.5,80.0,37879,35257749,CON,1526888942.747028,6,1722.088867,4.947094,0.267164,,,1706.747559,0.0,4.999998,,,,,37879,0,35257749,0,21.99538,21.99538,0.0,0,Normal,Normal
1571828,1526894256.268732,e,udp,192.168.100.7,46998,192.168.159.152,53,2,176,INT,1526894261.313113,16850,5.044381,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,176,0,0.19824,0.19824,0.0,0,Normal,Normal
34858330,1528095721.782664,e,tcp,192.168.100.147,2964.0,192.168.100.3,80,4,428,RST,1528095730.520596,1858,8.737932,0.002151,0.002151,,,0.004302,0.0,0.004302,,,,,3,1,368,60,0.343331,0.228887,0.0,1,DDoS/DoS,TCP
487788,1526897724.567968,e,tcp,192.168.100.148,49800,192.168.100.3,5280,2,120,RST,1526897724.568061,6099,9.3e-05,9.3e-05,0.0,,,9.3e-05,9.3e-05,9.3e-05,,,,,1,1,60,60,10752.6875,0.0,0.0,1,Reconnaissance,Service_Scan
110703,1526354165.224146,e,tcp,192.168.100.150,33170,192.168.100.7,2190,2,134,RST,1526354165.226762,8169,0.002616,0.002616,0.0,,,0.002616,0.002616,0.002616,,,,,1,1,74,60,382.263,0.0,0.0,1,Reconnaissance,Service_Scan
838537,1526949242.94068,e,tcp,192.168.100.148,42640,192.168.100.3,32563,2,120,RST,1526949242.941199,18943,0.000519,0.000519,0.0,,,0.000519,0.000519,0.000519,,,,,1,1,60,60,1926.782349,0.0,0.0,1,Reconnaissance,Service_Scan
844911,1526949243.037978,e,tcp,192.168.100.147,47422,192.168.100.3,35597,2,120,RST,1526949243.038736,25317,0.000758,0.000758,0.0,,,0.000758,0.000758,0.000758,,,,,1,1,60,60,1319.26123,0.0,0.0,1,Reconnaissance,Service_Scan
34898362,1528095722.542636,e s,tcp,192.168.100.147,19667,192.168.100.3,80,2,308,REQ,1528095732.185715,41890,9.643079,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.103701,0.103701,0.0,1,DDoS/DoS,TCP
9824203,1528082984.881798,e s,tcp,192.168.100.148,37754.0,192.168.100.5,80.0,3,462,REQ,1528083028.595355,45895,43.713558,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.045752,0.045752,0.0,1,DDoS/DoS,TCP
9376111,1528082865.747726,e s,tcp,192.168.100.150,28629.0,192.168.100.6,80.0,4,522,RST,1528082901.765403,122128,36.017677,0.013645,0.019296,,,0.040934,0.0,0.040934,,,,,3,1,462,60,0.083292,0.055528,0.0,1,DDoS/DoS,TCP
894839,1526949244.55778,e,tcp,192.168.100.148,42640,192.168.100.3,62681,2,120,RST,1526949244.564427,75245,0.006647,0.006647,0.0,,,0.006647,0.006647,0.006647,,,,,1,1,60,60,150.443802,0.0,0.0,1,Reconnaissance,Service_Scan
376246,1526880856.808081,e,tcp,192.168.100.149,57044,192.168.100.3,211,2,120,RST,1526880856.830511,219539,0.02243,0.02243,0.0,,,0.02243,0.02243,0.02243,,,,,1,1,60,60,44.583145,0.0,0.0,1,Reconnaissance,Service_Scan
87991,1526351549.038722,e,tcp,192.168.100.149,63526,192.168.100.6,50500,2,120,RST,1526351549.038768,24389,4.6e-05,4.6e-05,0.0,,,4.6e-05,4.6e-05,4.6e-05,,,,,1,1,60,60,21739.130859,0.0,0.0,1,Reconnaissance,Service_Scan
68194,1526350250.474207,e,icmp,192.168.100.5,0x0303,192.168.100.149,0x1d90,1,70,URP,1526350250.474207,3848,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,70,0,0.0,0.0,0.0,1,Reconnaissance,Service_Scan
108576,1526353852.777411,e,udp,192.168.100.3,4275,198.41.0.4,53,2,1301,CON,1526353852.951364,5999,0.173953,0.173953,0.0,,,0.173953,0.173953,0.173953,,,,,1,1,85,1216,5.748679,0.0,0.0,0,Normal,Normal
57813516,1528099550.02045,e,tcp,192.168.100.5,0.0,192.168.100.3,0.0,969,688871,CON,1528099573.84793,719,23.82748,4.311227,0.863859,,,21.556137,2.902481,4.988286,,,,,969,0,688871,0,40.625362,40.625362,0.0,0,Normal,Normal
34864935,1528095721.870751,e g,tcp,192.168.100.148,3365.0,192.168.100.3,80,6,548,RST,1528095731.696798,8463,9.826047,0.09557,0.084408,,,0.19114,0.011162,0.179978,,,,,4,2,428,120,0.508852,0.305311,0.10177,1,DDoS/DoS,TCP
34940079,1528095723.443737,e,tcp,192.168.100.148,26089,192.168.100.3,80,4,428,RST,1528095733.670945,83607,10.227208,0.066808,0.066808,,,0.133615,0.0,0.133615,,,,,3,1,368,60,0.293335,0.195557,0.0,1,DDoS/DoS,TCP
34975404,1528095724.543024,e s,tcp,192.168.100.147,38355,192.168.100.3,80,3,462,REQ,1528095738.659217,118932,14.116193,2.305351,2.305351,,,4.610702,0.0,4.610702,,,,,3,0,462,0,0.141681,0.141681,0.0,1,DDoS/DoS,TCP
308568,1526880849.587742,e,tcp,192.168.100.149,57044,192.168.100.3,47233,2,120,RST,1526880849.61368,151860,0.025938,0.025938,0.0,,,0.025938,0.025938,0.025938,,,,,1,1,60,60,38.553474,0.0,0.0,1,Reconnaissance,Service_Scan
1828576,1529380852.169964,e,tcp,192.168.100.149,42809,192.168.100.6,445,10,4875,RST,1529380852.211912,272,0.041948,0.041948,0.0,,,0.041948,0.041948,0.041948,,,,,6,4,4609,266,214.551346,119.19519,71.517113,1,Theft,Keylogging
34930452,1528095723.193355,e s,tcp,192.168.100.148,23249,192.168.100.3,80,4,428,RST,1528095733.670974,73980,10.477619,0.126464,0.126464,,,0.252928,0.0,0.252928,,,,,3,1,368,60,0.286325,0.190883,0.0,1,DDoS/DoS,TCP
9436956,1528082871.537206,e s,tcp,192.168.100.150,48513.0,192.168.100.6,80.0,4,522,RST,1528082907.998711,182973,36.498833,0.012442,0.017596,,,0.037326,0.0,0.037326,,,,,3,1,462,60,0.082194,0.054852,0.0,1,DDoS/DoS,TCP
927437,1526949246.516809,e,tcp,192.168.100.147,47422,192.168.100.3,27759,2,120,RST,1526949246.556775,107843,0.039966,0.039966,0.0,,,0.039966,0.039966,0.039966,,,,,1,1,60,60,25.021269,0.0,0.0,1,Reconnaissance,Service_Scan
7020020,1528082389.108881,e,tcp,192.168.100.3,41307.0,52.64.239.193,8883.0,60,21405,CON,1528082446.110963,59435,57.002083,2.061635,2.040038,,,24.739624,0.006075,4.999577,,,,,30,30,19425,1980,1.03505,0.508808,0.508753,0,Normal,Normal
34840650,1528103088.636801,e,tcp,192.168.100.149,44220,192.168.100.7,80,8,2145,RST,1528103095.434809,4303,6.798008,1.626652,1.626652,,,3.253303,0.0,3.253303,,,,,5,3,815,1330,1.029713,0.588408,0.61476,1,DDoS/DoS,HTTP
9921058,1528082991.508481,e s,tcp,192.168.100.150,605.0,192.168.100.6,80.0,4,522,RST,1528083030.857224,142750,39.397549,0.016269,0.023008,,,0.048807,0.0,0.048807,,,,,3,1,462,60,0.076147,0.050828,0.0,1,DDoS/DoS,TCP
34992019,1528095725.184801,e s,tcp,192.168.100.148,38015,192.168.100.3,80,2,308,REQ,1528095734.835935,135547,9.651134,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.103615,0.103615,0.0,1,DDoS/DoS,TCP
658335,1526898850.151169,e,tcp,192.168.100.150,54114,192.168.100.3,22222,2,120,RST,1526898850.195241,159019,0.044072,0.044072,0.0,,,0.044072,0.044072,0.044072,,,,,1,1,60,60,22.690144,0.0,0.0,1,Reconnaissance,Service_Scan
692731,1526898853.612479,e,tcp,192.168.100.148,57184,192.168.100.3,36364,2,120,RST,1526898853.672985,193415,0.060506,0.060506,0.0,,,0.060506,0.060506,0.060506,,,,,1,1,60,60,16.527287,0.0,0.0,1,Reconnaissance,Service_Scan
732418,1526898858.066949,e,tcp,192.168.100.150,54114,192.168.100.3,17000,2,120,RST,1526898858.112435,233103,0.045486,0.045486,0.0,,,0.045486,0.045486,0.045486,,,,,1,1,60,60,21.984787,0.0,0.0,1,Reconnaissance,Service_Scan
357617,1526880854.630289,e,tcp,192.168.100.149,57044,192.168.100.3,42418,2,120,RST,1526880854.654178,200910,0.023889,0.023889,0.0,,,0.023889,0.023889,0.023889,,,,,1,1,60,60,41.860271,0.0,0.0,1,Reconnaissance,Service_Scan
2495372,1528081403.076157,e,udp,192.168.100.3,50757.0,205.251.193.2,53.0,2,307,CON,1528081403.310071,111140,0.233914,0.233914,0.0,,,0.233914,0.233914,0.233914,,,,,1,1,113,194,4.275075,0.0,0.0,0,Normal,Normal
34978078,1528095724.647532,e,tcp,192.168.100.148,35019,192.168.100.3,80,4,428,RST,1528095734.555644,121606,9.908112,0.10058,0.10058,,,0.201161,0.0,0.201161,,,,,3,1,368,60,0.302782,0.201855,0.0,1,DDoS/DoS,TCP
991417,1526949251.778554,e,tcp,192.168.100.148,42640,192.168.100.3,54617,2,120,RST,1526949251.825376,171824,0.046822,0.046822,0.0,,,0.046822,0.046822,0.046822,,,,,1,1,60,60,21.357481,0.0,0.0,1,Reconnaissance,Service_Scan
9307112,1528082861.956263,e s,tcp,192.168.100.149,50353.0,192.168.100.7,80.0,3,462,REQ,1528082899.158284,53129,37.202023,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.053761,0.053761,0.0,1,DDoS/DoS,TCP
1466114,1526876041.623289,e,arp,192.168.100.1,,192.168.100.149,,2,120,CON,1526876041.623392,27,0.000103,0.000103,0.0,,,0.000103,0.000103,0.000103,,,,,1,1,60,60,9708.738281,0.0,0.0,0,Normal,Normal
